first_name,last_name,date_joined,validated,account_balance
mike,grendel,2008-01-01,0,200.0
John,Smith,2023-01-15,True,1200.5
Jane,Doe,2022-11-03,False,850.0
Mike,Johnson,2021-05-22,True,430.75
Emily,Davis,not_a_date,True,980.1
Chris,Brown,2020-07-30,False,0.0
Sarah,Wilson,2019-03-18,True,150.0
David,Lee,2023-02-10,True,2100.0
Anna,Garcia,2021-12-01,False,300.45
Tom,Martinez,2022-06-14,True,-50.0
Kevin,Thomas,2020-09-09,False,640.0
Olivia,Taylor,2021-04-11,True,920.3
Daniel,Moore,2022-08-25,False,110.0
Sophia,Jackson,2023-03-05,True,1340.0
James,White,invalid_date,False,500.0
Linda,Harris,2018-01-01,True,0.0
Robert,Martin,2020-10-10,True,875.6
Patricia,Thompson,2021-07-19,False,920.1
Michael,Garcia,2022-02-28,True,1500.0
Barbara,Martinez,2023-01-01,False,100.0
William,Robinson,2021-11-11,True,300.0
Elizabeth,Clark,2020-05-05,True,450.5
Richard,Rodriguez,not_a_date,False,700.0
Susan,Lewis,2022-09-09,True,880.8
Joseph,Lee,2023-04-01,True,920.0
Jessica,Walker,2021-03-03,False,610.1
Thomas,Hall,2020-08-08,True,0.0
Karen,Allen,2019-12-12,False,250.25
Charles,Young,2022-10-10,True,134.0
Nancy,Hernandez,2021-06-06,True,760.75
Christopher,King,2023-05-05,False,999.99
Lisa,Wright,2020-04-04,True,123.45
Matthew,Lopez,2022-07-07,False,456.78
Betty,Hill,2021-09-09,True,0.0
Anthony,Scott,invalid_date,True,850.0
Margaret,Green,2023-06-06,False,920.0
Mark,Adams,2020-03-03,True,330.0
Sandra,Baker,2021-08-08,True,780.8
Steven,Gonzalez,2022-01-01,False,120.0
Ashley,Nelson,2023-07-07,True,640.4
Kim,Mitchell,2021-02-02,True,555.55
Andrew,Perez,2020-06-06,True,777.77
Donna,Roberts,2022-12-12,False,888.88
Joshua,Turner,2023-08-08,True,999.0
Carol,Phillips,2021-10-10,True,100.1
Brian,Campbell,2020-11-11,False,200.2
Ruth,Parker,2022-03-03,True,300.3
